Journal Title,ISSN,Rank,Field
Journal of Labor Research,0195-3613,2,HRM&EMP
Journal of Organizational Effectiveness,2051-6614,2,HRM&EMP
Journal of Participation and Employee Ownership,2514-7641,2,HRM&EMP
Labor Studies Journal,0160-449X,2,HRM&EMP
Labour and Industry: a journal of social and economic relations of work,1030-1763,2,HRM&EMP
Personnel Review,0048-3486,2,HRM&EMP
Relations Industrielles/Industrial Relations,0034-379X,2,HRM&EMP
Sociologie du Travail,0038-0296,2,HRM&EMP
Transfer,1024-2589,2,HRM&EMP
Work in the Global Economy,,2,HRM&EMP
"Work, Aging and Retirement",,2,HRM&EMP
Zeitschrift für Personalforschung (German Journal of Research in Human Resource Management),2397-0022,2,HRM&EMP
Advances in Industrial and Labor Relations,0742-6186,1,HRM&EMP
African Journal of Employee Relations,,1,HRM&EMP
Australian Journal of Labour Economics,1328-1143,1,HRM&EMP
Economic and Labour Relations Review,1035-3046,1,HRM&EMP
Evidence-based HRM,2049-3983,1,HRM&EMP
Indian Journal of Labour Economics,0971-7927,1,HRM&EMP
Industrial and Commercial Training,0019-7858,1,HRM&EMP
International Journal of Comparative Labour Law and Industrial Relations,0952-617X,1,HRM&EMP
International Journal of Employment Studies,1039-6993,1,HRM&EMP
International Journal of Learning and Intellectual Capital,1479-4853,1,HRM&EMP
Journal of Work-Applied Management,2205-2062,1,HRM&EMP
Labour,1121-7081,1,HRM&EMP
Management and Labour Studies,0258-042X,1,HRM&EMP
Research in Personnel and Human Resources Management,0742-7301,1,HRM&EMP
SA Journal of Human Resource Management,1683-7584,1,HRM&EMP
South Asian Journal of Human Resources Management,2322-0937,1,HRM&EMP
Team Performance Management,1352-7592,1,HRM&EMP
"Work Organisation, Labour and Globalisation",1745-641X,1,HRM&EMP
Journal of International Business Studies,0047-2506,4*,IB&AREA
Journal of World Business,1090-9516,4,IB&AREA
African Affairs,0001-9909,3,IB&AREA
Asia Pacific Journal of Management,0217-4561,3,IB&AREA
International Business Review,0969-5931,3,IB&AREA
Journal of Common Market Studies,0021-9886,3,IB&AREA
Journal of International Business Policy,2522-0691,3,IB&AREA
Journal of International Management,1075-4253,3,IB&AREA
Management and Organization Review,1740-8776,3,IB&AREA
Management International Review,0938-8249,3,IB&AREA
Multinational Business Review,1525-383X,3,IB&AREA
Asia Pacific Business Review,1360-2381,2,IB&AREA
Asian Business and Management,1472-4782,2,IB&AREA
China Quarterly,0305-7410,2,IB&AREA
Critical Perspectives on International Business,1742-2043,2,IB&AREA
Cross Cultural and Strategic Management,2059-5794,2,IB&AREA
Eurasian Geography and Economics,1538-7216,2,IB&AREA
EuroMed Journal of Business,1450-2194,2,IB&AREA
Europe-Asia Studies,0966-8136,2,IB&AREA
European Journal of International Management,1751-6757,2,IB&AREA
Journal of Business Economics and Management,1611-1699,2,IB&AREA
Journal of Latin American Studies,0022-216X,2,IB&AREA
Journal of Modern African Studies,0022-278X,2,IB&AREA
Journal of World Trade,1011-6702,2,IB&AREA
Review of African Political Economy,0305-6244,2,IB&AREA
Third World Quarterly,0143-6597,2,IB&AREA
Thunderbird International Business Review,1096-4762,2,IB&AREA
Academia Revista Latinoamericana de Administracion,1012-8255,1,IB&AREA
African Journal of Economic and Management Studies,2040-0705,1,IB&AREA
Asia Pacific Management Review,1029-3132,1,IB&AREA
Asia-Pacific Journal of Business Administration,1757-4323,1,IB&AREA
Chinese Management Studies,1750-614X,1,IB&AREA
Competitiveness Review,1059-5422,1,IB&AREA
Foreign Trade Review,0015-7325,1,IB&AREA
Global Business and Economics Review,1097-4954,1,IB&AREA
International Journal of Business and Emerging Markets,1753-6219,1,IB&AREA
International Journal of Cross Cultural Management,1470-5958,1,IB&AREA
International Journal of Emerging Markets,1746-8809,1,IB&AREA
International Journal of Export Marketing,2059-089X,1,IB&AREA
International Journal of Indian Culture and Business Management,1753-0806,1,IB&AREA
International Trade Journal,0885-3908,1,IB&AREA
Journal for International Business and Entrepreneurship Development,1549-9324,1,IB&AREA
Journal of African Business,1522-8916,1,IB&AREA
Journal of Asia Business Studies,1558-7894,1,IB&AREA
Journal of Asia-Pacific Business,1059-9231,1,IB&AREA
Journal of Chinese Economic and Business Studies,1476-5284,1,IB&AREA
Journal of East European Management Studies,0949-6181,1,IB&AREA
Journal of East-West Business,1066-9868,1,IB&AREA
Journal of Transnational Management,1547-5778,1,IB&AREA
Latin American Business Review,1097-8526,1,IB&AREA
Management Research,1536-5433,1,IB&AREA
Review of International Business and Strategy,2059-6014,1,IB&AREA
Revista de Gestão,2177-8736,1,IB&AREA
South African Journal of Business Management,2078-5585,1,IB&AREA
South Asian Journal of Macroeconomics and Public Finance,2277-9787,1,IB&AREA
Transnational Corporations Review,1918-6444,1,IB&AREA
Information Systems Research,1047-7047,4*,INFO MAN
Journal of the Association for Information Systems,,4*,INFO MAN
MIS Quarterly: Management Information Systems,0276-7783,4*,INFO MAN
European Journal of Information Systems,0960-085X,4,INFO MAN
Information Systems Journal,1350-1917,4,INFO MAN
Journal of Information Technology,0268-3962,4,INFO MAN
Journal of Management Information Systems,0742-1222,4,INFO MAN
Journal of Strategic Information Systems,0963-8687,4,INFO MAN
Decision Support Systems,0167-9236,3,INFO MAN
Government Information Quarterly,0740-624X,3,INFO MAN
Information and Management,0378-7206,3,INFO MAN
Information and Organization,1471-7727,3,INFO MAN
Information Society,0197-2243,3,INFO MAN
Information Systems Frontiers,1387-3326,3,INFO MAN
Information Technology and People,0959-3845,3,INFO MAN
International Journal of Electronic Commerce,1086-4415,3,INFO MAN
Internet Research,1066-2243,3,INFO MAN
Journal of Computer-Mediated Communication,1083-6101,3,INFO MAN
Journal of the Association for Information Science and Technology (JASIST),2330-1635,3,INFO MAN
AIS Transactions on Human-Computer Interaction,,2,INFO MAN
Annual Review of Information Science and Technology,0066-4200,2,INFO MAN
Behaviour and Information Technology,0144-929X,2,INFO MAN
British Journal of Educational Technology,0007-1013,2,INFO MAN
Business & Information Systems Engineering,2363-7005,2,INFO MAN
Communications of the ACM,0001-0782,2,INFO MAN
Communications of the Association for Information Systems,1529-3181,2,INFO MAN
Computer Journal,0010-4620,2,INFO MAN
Computer Supported Cooperative Work,0925-9724,2,INFO MAN
Computers in Human Behavior,0747-5632,2,INFO MAN
Electronic Commerce Research,1389-5753,2,INFO MAN
Electronic Commerce Research and Applications,1567-4223,2,INFO MAN
Enterprise Information Systems,1751-7575,2,INFO MAN
Expert Systems,0266-4720,2,INFO MAN
Health Information and Libraries Journal,1471-1834,2,INFO MAN
Health Systems,2047-6965,2,INFO MAN
Industrial Management and Data Systems,0263-5577,2,INFO MAN
Information Processing and Management,0306-4573,2,INFO MAN
Information Systems and e-Business Management,1617-9846,2,INFO MAN
Information Systems Management,1058-0530,2,INFO MAN
Information Technology for Development,0268-1102,2,INFO MAN
Interacting with Computers,0953-5438,2,INFO MAN
International Journal of Human Computer Studies,1071-5819,2,INFO MAN
International Journal of Information Management,0268-4012,2,INFO MAN
Journal of Computer Information Systems,0887-4417,2,INFO MAN
Journal of Documentation,0022-0418,2,INFO MAN
Journal of Enterprise Information Management,1741-0398,2,INFO MAN
Journal of Global Information Management,1062-7375,2,INFO MAN
Journal of Global Information Technology Management,1097-198X,2,INFO MAN
Journal of Information Science,0165-5515,2,INFO MAN
Journal of Systems and Software,0164-1212,2,INFO MAN
MIS Quarterly Executive,1540-1960,2,INFO MAN
Pacific Asia Journal of the Association for Information Systems,1943-7536,2,INFO MAN
Requirements Engineering,0947-3602,2,INFO MAN
Scandinavian Journal of Information Systems,0905-0167,2,INFO MAN
The Data Base for Advances in Information Systems,0095-0033,2,INFO MAN
Aslib Journal of Information Management,2050-3806,1,INFO MAN
Australasian Journal of Information Systems,1449-8618,1,INFO MAN
e-Service Journal,1528-8226,1,INFO MAN
Ethics and Information Technology,1388-1957,1,INFO MAN
Expert Systems with Applications,0957-4174,1,INFO MAN
Foundations and Trends® in Information Systems,2331-1231,1,INFO MAN
Human-Computer Interaction,0737-0024,1,INFO MAN
Information and Computer Security,2056-4961,1,INFO MAN
Information Research,,1,INFO MAN
Information Resources Management Journal,1040-1628,1,INFO MAN
Information Technology & Tourism,1098-3058,1,INFO MAN
Information Technology and Management,1385-951X,1,INFO MAN
International Journal of Business and Systems Research,1751-200X,1,INFO MAN
International Journal of Business Information Systems,1746-0972,1,INFO MAN
International Journal of Business Process Integration and Management,1741-8763,1,INFO MAN
International Journal of Data Analysis Techniques and Strategies,1755-8050,1,INFO MAN
"International Journal of Digital Strategy, Governance, and Business Transformation",2643-8054,1,INFO MAN
International Journal of e-Business Research,1548-1131,1,INFO MAN
International Journal of Electronic Business,1470-6067,1,INFO MAN
International Journal of Enterprise Information Systems,1548-1115,1,INFO MAN
International Journal of Information Systems and Change Management,1479-3121,1,INFO MAN
International Journal of Information Systems in the Service Sector,1935-5688,1,INFO MAN
International Journal of Information Technology and Management,1461-4111,1,INFO MAN
International Journal of Knowledge Management,1548-0666,1,INFO MAN
International Journal of Services Economics and Management,1753-0822,1,INFO MAN
International Journal of Web Information Systems,1744-0084,1,INFO MAN
Journal of Database Management,1063-8016,1,INFO MAN
Journal of Decision Systems,1246-0125,1,INFO MAN
Journal of Electronic Commerce in Organizations,1539-2937,1,INFO MAN
Journal of Electronic Commerce Research,1938-9027,1,INFO MAN
Journal of Emerging Technologies in Accounting,1554-1908,1,INFO MAN
Journal of Information Systems Education,1055-3096,1,INFO MAN
Journal of Information Technology Case and Application Research,1522-8053,1,INFO MAN
Journal of Information Technology Management,2008-5893,1,INFO MAN
Journal of Information Technology Teaching Cases,2043-8869,1,INFO MAN
Journal of Informetrics,1751-1577,1,INFO MAN
Journal of Internet Commerce,1533-2861,1,INFO MAN
Journal of Organizational and End User Computing,1546-2234,1,INFO MAN
Journal of Organizational Computing and Electronic Commerce,1091-9392,1,INFO MAN
Journal of Systems and Information Technology,1328-7265,1,INFO MAN
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,1,INFO MAN
Knowledge Management Research and Practice,1477-8238,1,INFO MAN
Library Hi Tech (LHT),0737-8831,1,INFO MAN
Online Information Review,1468-4527,1,INFO MAN
Online Journal of Applied Knowledge Management,,1,INFO MAN
Software Impacts,,1,INFO MAN
South African Journal of Information Management,2078-1865,1,INFO MAN
The Bottom Line,0888-045X,1,INFO MAN
Research Policy,0048-7333,4*,INNOV
Journal of Product Innovation Management,0737-6782,4,INNOV
Industry and Innovation,1366-2716,3,INNOV
Journal of Technology Transfer,0892-9912,3,INNOV
R and D Management,0033-6807,3,INNOV
Technological Forecasting and Social Change,0040-1625,3,INNOV
Technovation,0166-4972,3,INNOV
Creativity and Innovation Management,0963-1690,2,INNOV
Innovation: Organization & Management,1447-9338,2,INNOV
International Journal of Innovation Management,1363-9196,2,INNOV
Journal of Engineering and Technology Management - JET-M,0923-4748,2,INNOV
Journal of High Technology Management Research,1047-8310,2,INNOV
Journal of Responsible Innovation,2329-9460,2,INNOV
Prometheus,0810-9028,2,INNOV
Research Technology Management,0895-6308,2,INNOV
Science and Technology Studies,2243-4690,2,INNOV
Science Technology and Human Values,0162-2439,2,INNOV
Scientometrics,0138-9130,2,INNOV
Social Studies of Science,0306-3127,2,INNOV
Structural Change and Economic Dynamics,0954-349X,2,INNOV
Annals of Science and Technology Policy,2475-1820,1,INNOV
Asian Journal of Technology Innovation,1976-1597,1,INNOV
European Journal of Innovation Management,1460-1060,1,INNOV
International Journal of Business Innovation and Research,1751-0252,1,INNOV
International Journal of Entrepreneurship and Innovation Management,1368-275X,1,INNOV
International Journal of Foresight and Innovation Policy,1740-2816,1,INNOV
International Journal of Innovation and Sustainable Development,1740-8822,1,INNOV
International Journal of Innovation and Technology Management,0219-8770,1,INNOV
International Journal of Innovation Science,1757-2223,1,INNOV
International Journal of Product Development,1477-9056,1,INNOV
"International Journal of Technological Learning, Innovation and Development",1753-1942,1,INNOV
International Journal of Technology and Globalisation,1476-5667,1,INNOV
International Journal of Technology Intelligence and Planning,1740-2832,1,INNOV
International Journal of Technology Management and Sustainable Development,1474-2748,1,INNOV
International Journal of Technology Transfer and Commercialisation,1470-6075,1,INNOV
"International Journal of Technology, Policy and Management",1468-4322,1,INNOV
International Journal of the Digital Human,2046-3375,1,INNOV
Journal of Innovation and Knowledge,2530-7614,1,INNOV
Journal of Innovation Economics & Management,,1,INNOV
Journal of Innovation Management (JIM),,1,INNOV
Journal of Science and Technology Policy Management,2053-4620,1,INNOV
Journal of the Knowledge Economy,1868-7865,1,INNOV
Technology Innovation Management Review,,1,INNOV
Academy of Management Learning and Education,1537-260X,4*,MDEV&EDU
Management Learning,1350-5076,3,MDEV&EDU
Studies in Higher Education,0307-5079,3,MDEV&EDU
Accounting Education,0963-9284,2,MDEV&EDU
Advances in Developing Human Resources,1523-4223,2,MDEV&EDU
Assessment and Evaluation in Higher Education,0260-2938,2,MDEV&EDU
British Educational Research Journal,0141-1926,2,MDEV&EDU
British Journal of Guidance and Counselling,0306-9885,2,MDEV&EDU
European Journal of Higher Education,2156-8235,2,MDEV&EDU
Higher Education,0018-1560,2,MDEV&EDU
Higher Education Policy,0952-8733,2,MDEV&EDU
Higher Education Quarterly,0951-5224,2,MDEV&EDU
INFORMS Transactions on Education,,2,MDEV&EDU
Innovations in Education and Teaching International,1470-3297,2,MDEV&EDU
Issues in Accounting Education,0739-3172,2,MDEV&EDU
Journal of Accounting Education,0748-5751,2,MDEV&EDU
Journal of Education and Work,1363-9080,2,MDEV&EDU
Journal of Education Policy,0268-0939,2,MDEV&EDU
Journal of Higher Education,0022-1546,2,MDEV&EDU
Journal of International Business Education,1649-4946,2,MDEV&EDU
Journal of Management Education,1052-5629,2,MDEV&EDU
Journal of Marketing Education,0273-4753,2,MDEV&EDU
Management Teaching Review,2379-2981,2,MDEV&EDU
Teaching in Higher Education,1356-2517,2,MDEV&EDU
Action Learning: Research and Practice,1476-7333,1,MDEV&EDU
Active Learning in Higher Education,1469-7874,1,MDEV&EDU
Advances in Accounting Education: Teaching and Curriculum Innovations,1085-4622,1,MDEV&EDU
Coaching,1752-1882,1,MDEV&EDU
Decision Sciences Journal of Innovative Education,1540-4595,1,MDEV&EDU
Education and Training,0040-0912,1,MDEV&EDU
Electronic Journal of e-Learning,,1,MDEV&EDU
European Journal of Training and Development,2046-9012,1,MDEV&EDU
"Higher Education, Skills and Work-based Learning",2042-3896,1,MDEV&EDU
Industry and Higher Education,0950-4222,1,MDEV&EDU
International Journal of Evidence Based Coaching and Mentoring,1741-8305,1,MDEV&EDU
International Journal of Innovation and Learning,1471-8197,1,MDEV&EDU
International Journal of Knowledge and Learning,1741-1009,1,MDEV&EDU
International Journal of Learning and Change,1740-2875,1,MDEV&EDU
International Journal of Management Development,1752-8240,1,MDEV&EDU
International Journal of Management Education,1472-8117,1,MDEV&EDU
International Journal of Teaching and Case Studies,1749-9151,1,MDEV&EDU
Journal for Advancement of Marketing Education,2326-3296,1,MDEV&EDU
Journal of Advertising Education,1098-0482,1,MDEV&EDU
Journal of Business Ethics Education,1649-5195,1,MDEV&EDU
Journal of Educational Administration,0957-8234,1,MDEV&EDU
Journal of Further and Higher Education,0309-877X,1,MDEV&EDU
Journal of Higher Education Policy and Management,1360-080X,1,MDEV&EDU
Journal of International Education in Business,2046-469X,1,MDEV&EDU
Journal of Management Development,0262-1711,1,MDEV&EDU
Journal of Organizational Behavior Education,1649-7627,1,MDEV&EDU
Journal of Vocational Education and Training,1363-6820,1,MDEV&EDU
Journal of Workplace Learning,1366-5626,1,MDEV&EDU
Marketing Education Review,1052-8008,1,MDEV&EDU
Operations Management Education Review,1649-7082,1,MDEV&EDU
Quality Assurance in Education,0968-4883,1,MDEV&EDU
Tertiary Education and Management,1358-3883,1,MDEV&EDU
The Journal of Research in Innovative Teaching & Learning,2397-7604,1,MDEV&EDU
Journal of Consumer Psychology,1057-7408,4*,MKT
Journal of Consumer Research,0093-5301,4*,MKT
Journal of Marketing,0022-2429,4*,MKT
Journal of Marketing Research,0022-2437,4*,MKT
Journal of the Academy of Marketing Science,0092-0703,4*,MKT
Marketing Science,0732-2399,4*,MKT
International Journal of Research in Marketing,0167-8116,4,MKT
Journal of Retailing,0022-4359,4,MKT
European Journal of Marketing,0309-0566,3,MKT
Industrial Marketing Management,0019-8501,3,MKT
International Marketing Review,0265-1335,3,MKT
Journal of Advertising,0091-3367,3,MKT
Journal of Advertising Research,0021-8499,3,MKT
Journal of Interactive Marketing,1094-9968,3,MKT
Journal of International Marketing,1069-031X,3,MKT
Journal of Public Policy and Marketing,0743-9156,3,MKT
Marketing Letters,0923-0645,3,MKT
Marketing Theory,1470-5931,3,MKT
Psychology and Marketing,0742-6046,3,MKT
Quantitative Marketing and Economics,1570-7156,3,MKT
Academy of Marketing Science Review,1869-814X,2,MKT
Advances in Consumer Research,0098-9258,2,MKT
Consumption Markets and Culture,1025-3866,2,MKT
Electronic Markets,1019-6781,2,MKT
International Journal of Advertising,0265-0487,2,MKT
International Journal of Consumer Studies,1470-6423,2,MKT
International Journal of Market Research,1470-7853,2,MKT
International Journal of Retail and Distribution Management,0959-0552,2,MKT
Journal of Brand Management,1350-231X,2,MKT
Journal of Business and Industrial Marketing,0885-8624,2,MKT
Journal of Consumer Behaviour,1472-0817,2,MKT
Journal of Macromarketing,0276-1467,2,MKT
Journal of Marketing Management,0267-257X,2,MKT
Journal of Personal Selling and Sales Management,0885-3134,2,MKT
Journal of Retailing and Consumer Services,0969-6989,2,MKT
Journal of Services Marketing,0887-6045,2,MKT
Journal of Strategic Marketing,0965-254X,2,MKT
Journal of the Association for Consumer Research,2378-1815,2,MKT
Qualitative Market Research,1352-2752,2,MKT
Asia Pacific Journal of Marketing and Logistics,1355-5855,1,MKT
Australasian Marketing Journal,1441-3582,1,MKT
Corporate Communications,1356-3289,1,MKT
Corporate Reputation Review,1363-3589,1,MKT
Health Marketing Quarterly,0735-9683,1,MKT
International Journal of Bank Marketing,0265-2323,1,MKT
International Journal of Internet Marketing and Advertising,1477-5212,1,MKT
International Journal of Pharmaceutical and Healthcare Marketing,1750-6123,1,MKT
International Journal of Technology Marketing,1741-878X,1,MKT
"International Review of Retail, Distribution and Consumer Research",0959-3969,1,MKT
International Review on Public and Non-Profit Marketing,,1,MKT
Journal of Business-to-Business Marketing,1051-712X,1,MKT
Journal of Communication Management,1363-254X,1,MKT
Journal of Consumer Affairs,0022-0078,1,MKT
Journal of Consumer Marketing,0736-3761,1,MKT
Journal of Current Issues and Research in Advertising,1064-1734,1,MKT
Journal of Fashion Marketing and Management,1361-2026,1,MKT
Journal of Financial Services Marketing,1363-0539,1,MKT
Journal of Global Fashion Marketing,2093-2685,1,MKT
Journal of Global Marketing,0891-1762,1,MKT
Journal of Interactive Advertising,,1,MKT
Journal of International Consumer Marketing,0896-1530,1,MKT
Journal of Marketing Analytics,2050-3326,1,MKT
Journal of Marketing Communications,1352-7266,1,MKT
Journal of Marketing for Higher Education,0884-1241,1,MKT
Journal of Marketing Theory and Practice,1069-6679,1,MKT
Journal of Non-Profit and Public Sector Marketing,1049-5142,1,MKT
Journal of Philanthropy and Marketing,,1,MKT
Journal of Product and Brand Management,1061-0421,1,MKT
Journal of Relationship Marketing,1533-2667,1,MKT
Journal of Research in Interactive Marketing,2040-7122,1,MKT
Journal of Social Marketing,2042-6763,1,MKT
Marketing Intelligence and Planning,0263-4503,1,MKT
Recherche et Applications en Marketing,2051-5707,1,MKT
Review of Marketing Science,,1,MKT
Services Marketing Quarterly,1533-2969,1,MKT
Social Marketing Quarterly,1524-5004,1,MKT
Spanish Journal of Marketing - ESIC,2444-9695,1,MKT
Young Consumers,1747-3616,1,MKT
Journal of Operations Management,0272-6963,4*,OPS&TECH
International Journal of Operations and Production Management,0144-3577,4,OPS&TECH
Journal of Supply Chain Management,1523-2409,4,OPS&TECH
Production and Operations Management,1059-1478,4,OPS&TECH
Computers in Industry,0166-3615,3,OPS&TECH
IEEE Transactions on Engineering Management,0018-9391,3,OPS&TECH
International Journal of Production Economics,0925-5273,3,OPS&TECH
International Journal of Production Research,0020-7543,3,OPS&TECH
Journal of Business Logistics,0735-3766,3,OPS&TECH
Journal of Purchasing and Supply Management,1478-4092,3,OPS&TECH
Manufacturing and Service Operations Management,1523-4614,3,OPS&TECH
Production Planning and Control,0953-7287,3,OPS&TECH
Supply Chain Management,1359-8546,3,OPS&TECH
Business Process Management Journal,1463-7154,2,OPS&TECH
Computers and Industrial Engineering,0360-8352,2,OPS&TECH
International Journal of Computer Integrated Manufacturing,0951-192X,2,OPS&TECH
International Journal of Physical Distribution and Logistics Management,0960-0035,2,OPS&TECH
International Journal of Project Management,0263-7863,2,OPS&TECH
International Journal of Quality and Reliability Management,0265-671X,2,OPS&TECH
International Journal of Technology Management,0267-5730,2,OPS&TECH
Journal of Construction Engineering and Management - ASCE,0733-9364,2,OPS&TECH
Total Quality Management and Business Excellence,1478-3363,2,OPS&TECH
Benchmarking,1463-5771,1,OPS&TECH
Concurrent Engineering Research and Applications,1063-293X,1,OPS&TECH
Flexible Services and Manufacturing Journal,1936-6582,1,OPS&TECH
"Foundations and Trends in Technology, Information and Operations Management",1571-9545,1,OPS&TECH
International Journal of Agile Systems and Management,1741-9174,1,OPS&TECH
International Journal of Business Performance and Supply Chain Modelling,1758-9401,1,OPS&TECH
International Journal of Business Performance Management,1368-4892,1,OPS&TECH
International Journal of Construction Management,1562-3599,1,OPS&TECH
International Journal of Engineering Business Management,1847-9790,1,OPS&TECH
International Journal of Enterprise Network Management,1748-1252,1,OPS&TECH
International Journal of Industrial and Systems Engineering,1748-5037,1,OPS&TECH
International Journal of Industrial Engineering and Management,2217-2661,1,OPS&TECH
International Journal of Information Systems and Supply Chain Management,1935-5726,1,OPS&TECH
International Journal of Integrated Supply Management,1477-5360,1,OPS&TECH
International Journal of Internet Manufacturing and Services,1751-6048,1,OPS&TECH
International Journal of Lean Six Sigma,2040-4166,1,OPS&TECH
International Journal of Logistics Management,0957-4093,1,OPS&TECH
International Journal of Logistics Research and Applications,1367-5567,1,OPS&TECH
International Journal of Logistics Systems and Management,1742-7967,1,OPS&TECH
International Journal of Manufacturing Technology and Management,1368-2148,1,OPS&TECH
International Journal of Process Management and Benchmarking,1460-6739,1,OPS&TECH
International Journal of Procurement Management,1753-8432,1,OPS&TECH
International Journal of Productivity and Performance Management,1741-0401,1,OPS&TECH
International Journal of Productivity and Quality Management,1746-6474,1,OPS&TECH
International Journal of Quality and Service Sciences,1756-669X,1,OPS&TECH
International Journal of Services and Operations Management,1744-2370,1,OPS&TECH
International Journal of Services Operations and Informatics,1741-539X,1,OPS&TECH
International Journal of Shipping and Transport Logistics,1756-6517,1,OPS&TECH
International Journal of Six Sigma and Competitive Advantage,1479-2494,1,OPS&TECH
International Journal of Value Chain Management,1741-5357,1,OPS&TECH
Journal of Global Operations and Strategic Sourcing,2398-5364,1,OPS&TECH
Journal of Humanitarian Logistics and Supply Chain Management,2042-6747,1,OPS&TECH
Journal of Intelligent Manufacturing,0956-5515,1,OPS&TECH
Journal of Manufacturing Systems,0278-6125,1,OPS&TECH
Journal of Manufacturing Technology Management,1741-038X,1,OPS&TECH
Journal of Public Procurement,1535-0118,1,OPS&TECH
Journal of Quality in Maintenance Engineering,1355-2511,1,OPS&TECH
Journal of Scheduling,1094-6136,1,OPS&TECH
Journal of Service Theory and Practice,2055-6225,1,OPS&TECH
Journal of Transport and Supply Chain Management,2310-8789,1,OPS&TECH
Knowledge and Process Management,1092-4604,1,OPS&TECH
Operations Management Research,1936-9735,1,OPS&TECH
"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",0954-4054,1,OPS&TECH
Production & Manufacturing Research,,1,OPS&TECH
Project Management Journal,8756-9728,1,OPS&TECH
Quality and Reliability Engineering International,0748-8017,1,OPS&TECH
Quality Innovation Prosperity,1335-1745,1,OPS&TECH
Quality Progress,0033-524X,1,OPS&TECH
Service Science,2164-3962,1,OPS&TECH
Supply Chain Forum,1625-8312,1,OPS&TECH
TQM Journal,1754-2731,1,OPS&TECH
World Review of Intermodal Transportation Research,1749-4729,1,OPS&TECH
Management Science,0025-1909,4*,OR&MANSCI
Operations Research,0030-364X,4*,OR&MANSCI
European Journal of Operational Research,0377-2217,4,OR&MANSCI
IEEE Transactions on Evolutionary Computation,1089-778X,4,OR&MANSCI
Mathematical Programming,0025-5610,4,OR&MANSCI
ACM Transactions on Modeling and Computer Simulation,1049-3301,3,OR&MANSCI
Annals of Operations Research,0254-5330,3,OR&MANSCI
Computational Optimization and Applications,0926-6003,3,OR&MANSCI
Computers and Operations Research,0305-0548,3,OR&MANSCI
Decision Sciences,0011-7315,3,OR&MANSCI
Evolutionary Computation,1063-6560,3,OR&MANSCI
Fuzzy Optimization and Decision Making,1568-4539,3,OR&MANSCI
IEEE Transactions on Cybernetics,2168-2267,3,OR&MANSCI
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2168-2216,3,OR&MANSCI
IISE Transactions,2472-5854,3,OR&MANSCI
INFORMS Journal on Computing,1091-9856,3,OR&MANSCI
International Journal of Forecasting,0169-2070,3,OR&MANSCI
Journal of Heuristics,1381-1231,3,OR&MANSCI
Journal of Optimization Theory and Applications,0022-3239,3,OR&MANSCI
Journal of the Operational Research Society,0160-5682,3,OR&MANSCI
Mathematics of Operations Research,0364-765X,3,OR&MANSCI
Naval Research Logistics,0894-069X,3,OR&MANSCI
Omega,0305-0483,3,OR&MANSCI
OR Spectrum,0171-6468,3,OR&MANSCI
Reliability Engineering and System Safety,0951-8320,3,OR&MANSCI
SIAM Journal on Optimization,1052-6234,3,OR&MANSCI
Transportation Science,0041-1655,3,OR&MANSCI
4OR,1619-4500,2,OR&MANSCI
Discrete Applied Mathematics,0166-218X,2,OR&MANSCI
Discrete Optimization,1572-5286,2,OR&MANSCI
Engineering Optimization,0305-215X,2,OR&MANSCI
EURO Journal on Computational Optimization,2192-4406,2,OR&MANSCI
EURO Journal on Transportation and Logistics,2192-4376,2,OR&MANSCI
European Journal of Industrial Engineering,1751-5254,2,OR&MANSCI
Group Decision and Negotiation,0926-2644,2,OR&MANSCI
IMA Journal of Management Mathematics,1471-678X,2,OR&MANSCI
INFORMS Journal on Applied Analytics,2644-0865 ,2,OR&MANSCI
International Journal of Systems Science: Operations & Logistics,2330-2674,2,OR&MANSCI
Journal of Combinatorial Optimization,1382-6905,2,OR&MANSCI
Journal of Forecasting,0277-6693,2,OR&MANSCI
Journal of Global Optimization,0925-5001,2,OR&MANSCI
Journal of Management Analytics,2327-0012,2,OR&MANSCI
Journal of Simulation,1747-7778,2,OR&MANSCI
Operations Research Letters,0167-6377,2,OR&MANSCI
Queueing Systems,0257-0130,2,OR&MANSCI
Simulation Modelling Practice and Theory,1569-190X,2,OR&MANSCI
Socio-Economic Planning Sciences,0038-0121,2,OR&MANSCI
System Dynamics Review,0883-7066,2,OR&MANSCI
Systems Research and Behavioral Science,1092-7026,2,OR&MANSCI
Theory and Decision,0040-5833,2,OR&MANSCI
Asia-Pacific Journal of Operational Research,0217-5959,1,OR&MANSCI
Central European Journal of Operations Research,1435-246X,1,OR&MANSCI
Computational Management Science,1619-697X,1,OR&MANSCI
Cybernetics and Systems,0196-9722,1,OR&MANSCI
Decision Analysis,1545-8490,1,OR&MANSCI
EURO Journal on Decision Processes,,1,OR&MANSCI
INFOR: Information Systems and Operational Research,0315-5986,1,OR&MANSCI
International Journal of Applied Decision Sciences,1755-8077,1,OR&MANSCI
International Journal of General Systems,0308-1079,1,OR&MANSCI
International Journal of Mathematics in Operational Research,1757-5850,1,OR&MANSCI
International Journal of Operational Research,1745-7645,1,OR&MANSCI
International Journal of Operations and Quantitative Management,1082-1910,1,OR&MANSCI
International Transactions in Operational Research,0969-6016,1,OR&MANSCI
